1027,Pranav Vijaya,+91 9706353529,pranav.vijaya@yahoo.co.in,30698,2,721
1028,Sanjay Nirmal,+91 9721053571,sanjay.nirmal@gmail.com,63215,5,718
1029,Sadaf Roy,+91 8673823093,sadaf_roy@gmail.com,132572,8,715
1030,Mahesh Mati,+91 7832537724,mahesh_mati@daiict.ac.in,103873,1,708
1031,Karan Rastogi,+91 8604533764,karan_rastogi@hotmail.com,88429,2,720
1032,Nitin Sehgal,+91 7434641438,nitin_sehgal@yahoo.co.in,126513,5,710
1033,Rohit Jai,+91 8295709098,rohit_jai@hotmail.com,139609,4,709
1034,Ankit Sethi,+91 8208413635,ankit_sethi@daiict.ac.in,84410,4,702
1035,Manish Persaud,+91 7854317568,manish_persaud@hotmail.com,54981,8,714
1036,Abhinav Darsha,+91 7603312057,abhinav_darsha@gmail.com,117949,0,713
1037,Soham Subramanian,+91 7190635507,soham_subramanian@yahoo.co.in,15545,0,711
1038,Sakshi Nigam,+91 7851630259,sakshi.nigam@gmail.com,92646,8,720
1039,Prateek Malik,+91 9780159616,prateek.malik@hotmail.com,142444,10,723
1040,Vinay Srivastava,+91 7217265501,vinay_srivastava@yahoo.co.in,72768,2,711
1041,Natasha Malhotra,+91 9331497150,natasha.malhotra@yahoo.co.in,132448,1,720
1042,Ramya Saxena,+91 9361280491,ramya.saxena@hotmail.com,22543,2,708
1043,Nishant Sahni,+91 9643786180,nishant.sahni@yahoo.co.in,29980,9,713
1044,Aditya Narayan,+91 7776453566,aditya.narayan@gmail.com,104200,2,710
1045,Sneha Manju,+91 7593820826,sneha.manju@gmail.com,34583,6,708
1046,Gayatri Neel,+91 8975363499,gayatri_neel@daiict.ac.in,144585,7,711
1047,Abhi Chaudhary,+91 7660371176,abhi_chaudhary@hotmail.com,90640,6,710
1048,Kunal Engineer,+91 7323711303,kunal_engineer@gmail.com,75446,9,725
1049,Neha Srivastav,+91 7270983152,neha_srivastav@hotmail.com,122822,2,705
1050,Sadaf Puri,+91 7548726962,sadaf_puri@gmail.com,58984,3,709
1051,Shreya Puri,+91 9038853561,shreya_puri@daiict.ac.in,120848,2,720
1052,Riya Chande,+91 9910722879,riya_chande@yahoo.co.in,50265,4,702
1053,Diya Suri,+91 8583643309,diya.suri@yahoo.co.in,69252,4,725
1054,Seema Punj,+91 7657104186,seema.punj@gmail.com,112687,3,701
1055,Vinay Saxena,+91 7356692650,vinay.saxena@hotmail.com,123861,8,720
1056,Anusha Rana,+91 9053507602,anusha_rana@yahoo.co.in,142304,3,703
1057,Soham Aggarwal,+91 9798414324,soham.aggarwal@yahoo.co.in,104928,10,709
1058,Nishita Jana,+91 8877112988,nishita_jana@daiict.ac.in,103171,4,725
1059,Akash Kishore,+91 7354960725,akash_kishore@daiict.ac.in,66448,1,724
1060,Vikas Bhat,+91 7331860081,vikas_bhat@gmail.com,39123,7,701
1061,Natasha Srivas,+91 9039352607,natasha.srivas@yahoo.co.in,62851,1,717
1062,Sanjana Krishnamurthy,+91 8880298434,sanjana_krishnamurthy@gmail.com,122873,9,716
1063,Rishabh Veena,+91 7619158242,rishabh.veena@gmail.com,86476,1,701
1064,Tanvi Jai,+91 9954435155,tanvi_jai@yahoo.co.in,143232,6,713
1065,Kunal Arun,+91 7532317694,kunal.arun@daiict.ac.in,41119,0,719
1066,Nikita Manju,+91 7430635863,nikita.manju@hotmail.com,81595,10,710
1067,Jay Pal,+91 9179670671,jay_pal@daiict.ac.in,133761,7,712
1068,Rohit Raji,+91 7002461217,rohit_raji@gmail.com,105990,4,725
1069,Krishna Kumar,+91 8512188430,krishna_kumar@hotmail.com,47695,4,719
1070,Ajith Nirmal,+91 7899927880,ajith.nirmal@hotmail.com,132400,3,706
1071,Sam Sen,+91 8396565775,sam.sen@daiict.ac.in,135081,0,707
1072,Jay Manju,+91 9510282673,jay_manju@daiict.ac.in,65662,0,724
1073,Divya Chandra,+91 8921498633,divya.chandra@yahoo.co.in,72320,0,712
1074,Ayushi Swami,+91 8927789511,ayushi.swami@daiict.ac.in,23649,9,704
1075,Rohan Ganesh,+91 7037064054,rohan.ganesh@hotmail.com,59831,10,706
1076,Yash Rai,+91 9970965768,yash.rai@daiict.ac.in,54256,4,703
1077,Nitin Mahajan,+91 9500689685,nitin_mahajan@hotmail.com,83661,8,705
1078,Shivani Mati,+91 7099332478,shivani.mati@yahoo.co.in,73148,1,723
1079,Sakshi Narayan,+91 7561951166,sakshi_narayan@gmail.com,66015,2,725
1080,Anusha Prasad,+91 8298135653,anusha_prasad@gmail.com,123828,0,702
1081,Sadaf Anand,+91 9578258404,sadaf.anand@yahoo.co.in,132965,5,707
1082,Anusha Srivas,+91 8110452968,anusha.srivas@daiict.ac.in,104503,5,702
1083,Siya Naran,+91 8119075088,siya_naran@daiict.ac.in,32652,8,701
1084,Amit Subramanian,+91 7878566484,amit_subramanian@yahoo.co.in,50720,8,706
1085,Sam Sen,+91 8347838404,sam.sen@hotmail.com,53177,1,704
1086,Aaditya Goel,+91 9560381971,aaditya.goel@daiict.ac.in,74374,2,720
1087,Raju Chandrasekar,+91 7439278461,raju_chandrasekar@gmail.com,95929,6,714
1088,Diya Rajan,+91 8596680270,diya_rajan@yahoo.co.in,135499,7,719
1089,Radhika Bhat,+91 8088183264,radhika.bhat@daiict.ac.in,58318,9,704
1090,Shivani Mehra,+91 9476096868,shivani.mehra@yahoo.co.in,46979,2,724
1091,Abhishek Sai,+91 8199584500,abhishek_sai@hotmail.com,30067,7,721
1092,Ira Goel,+91 8526081575,ira_goel@yahoo.co.in,137929,8,707
1093,Karan Bhat,+91 8706425585,karan.bhat@daiict.ac.in,58576,9,705
1094,Shivani Bhatt,+91 7195618099,shivani.bhatt@gmail.com,88816,2,716
1095,Krithika Sai,+91 9261818719,krithika.sai@yahoo.co.in,97861,7,707
1096,Prateek Rajagopal,+91 9235071197,prateek_rajagopal@gmail.com,101506,5,705
1097,Jay Pawan,+91 7053788942,jay_pawan@yahoo.co.in,91127,6,712
1098,Kumar Swami,+91 8186849231,kumar.swami@hotmail.com,105649,0,715
1099,Naveen Sahni,+91 9512528516,naveen.sahni@hotmail.com,16042,8,718
1100,Vikas Veer,+91 7067451243,vikas.veer@gmail.com,140847,9,722
