Karan Chandra,karan_chandra@gmail.com,40,23
Ishita Krishnamurthy,ishita.krishnamurthy@gmail.com,60,14
Anusha Neel,anusha.neel@daiict.ac.in,8,15
Krithika Jana,krithika_jana@yahoo.co.in,35,24
Sneha Mehra,sneha_mehra@daiict.ac.in,44,45
Vaibhav Samuel,vaibhav.samuel@gmail.com,19,24
Nishi Nath,nishi_nath@gmail.com,19,50
Isha Darsha,isha_darsha@daiict.ac.in,18,7
Vinay Sharma,vinay.sharma@gmail.com,20,15
Rishita Arun,rishita.arun@daiict.ac.in,62,41
Rahul Sandeep,rahul_sandeep@daiict.ac.in,16,21
Abhishek Neel,abhishek.neel@yahoo.co.in,51,14
Ira Bhatt,ira_bhatt@daiict.ac.in,52,24
Shyam Goel,shyam.goel@hotmail.com,32,2
Leah Jindal,leah.jindal@yahoo.co.in,13,5
